child_id,synthetic_nik,synthetic_name,synthetic_parent_name,district_id,district_name,posyandu_name,age_months,gender,height_cm,weight_kg,z_haz_score,z_waz_score,nutrition_status,has_exclusive_breastfeeding,water_source_access
CHD-2026-00016,1271802731485342,Fajar Nasution,Tiara Nasution,DIST-18,Medan Polonia,Posyandu Melati 4,39,F,89.2,14.1,-1.04,-2.41,POTENTIAL_RISK,False,Air Sungai / Tak Terlindung
CHD-2026-00017,1271666427178397,Dewi Sinaga,Lestari Sinaga,DIST-07,Medan Amplas,Posyandu Melati 4,13,M,72.9,8.76,-0.41,-1.35,NORMAL,True,PDAM
CHD-2026-00018,1271381075402163,Zahra Lubis,Aditya Lubis,DIST-19,Medan Baru,Posyandu Melati 4,51,M,99.9,18.23,-0.28,-1.38,NORMAL,False,PDAM
CHD-2026-00019,1271403920048953,Bayu Siregar,Galang Siregar,DIST-02,Medan Labuhan,Posyandu Melati 8,19,M,73.6,12.22,-1.56,0.43,POTENTIAL_RISK,True,Sumur Terlindung
CHD-2026-00020,1271945519896804,Dimas Siregar,Siti Siregar,DIST-14,Medan Timur,Posyandu Melati 8,33,F,86.4,15.05,-0.57,-0.19,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00021,1271539394822790,Siti Pratama,Rian Pratama,DIST-02,Medan Labuhan,Posyandu Melati 4,21,M,71.7,13.71,-2.65,1.33,STUNTED,False,PDAM
CHD-2026-00022,1271195646562604,Kevin Ginting,Nurul Ginting,DIST-06,Medan Denai,Posyandu Melati 2,9,M,75.0,9.77,1.22,0.47,NORMAL,True,PDAM
CHD-2026-00023,1271172726347209,Tiara Lubis,Rian Lubis,DIST-16,Medan Kota,Posyandu Melati 5,6,F,70.6,7.92,0.47,-0.52,NORMAL,False,PDAM
CHD-2026-00024,1271473282751958,Tiara Nasution,Dimas Nasution,DIST-18,Medan Polonia,Posyandu Melati 6,43,M,95.4,18.5,0.1,0.69,NORMAL,False,PDAM
CHD-2026-00025,1271301596429320,Tiara Tarigan,Galang Tarigan,DIST-19,Medan Baru,Posyandu Melati 2,11,M,69.4,8.77,-1.11,-0.89,POTENTIAL_RISK,True,Sumur Terlindung
CHD-2026-00026,1271417070401651,Rian Siregar,Aditya Siregar,DIST-08,Medan Johor,Posyandu Melati 7,45,M,89.1,16.69,-2.47,-1.41,STUNTED,False,Sumur Terlindung
CHD-2026-00027,1271368022586147,Galang Sitorus,Kevin Sitorus,DIST-19,Medan Baru,Posyandu Melati 7,21,F,84.4,11.4,1.56,-0.77,NORMAL,True,Sumur Terlindung
CHD-2026-00028,1271115805472638,Rafi Sitorus,Rizky Sitorus,DIST-10,Medan Selayang,Posyandu Melati 5,10,M,69.5,9.34,-0.82,-0.14,NORMAL,True,Air Sungai / Tak Terlindung
CHD-2026-00029,1271305594699900,Nurul Sitorus,Dewi Sitorus,DIST-03,Medan Marelan,Posyandu Melati 1,51,F,92.1,19.71,-2.86,-0.03,STUNTED,False,Sumur Terlindung
CHD-2026-00030,1271273773122891,Dewi Pasaribu,Siti Pasaribu,DIST-18,Medan Polonia,Posyandu Melati 5,12,M,76.6,9.95,1.06,-0.05,NORMAL,False,Sumur Terlindung
CHD-2026-00031,1271746122625114,Dimas Pangaribuan,Kevin Pangaribuan,DIST-11,Medan Sunggal,Posyandu Melati 7,9,M,75.4,6.97,1.36,-2.07,NORMAL,False,PDAM
CHD-2026-00032,1271308772368239,Fajar Pangaribuan,Kevin Pangaribuan,DIST-11,Medan Sunggal,Posyandu Melati 1,41,F,98.4,15.69,1.58,-1.42,NORMAL,False,PDAM
CHD-2026-00033,1271846793643426,Zahra Pratama,Lestari Pratama,DIST-05,Medan Tembung,Posyandu Melati 1,33,M,81.0,13.92,-2.36,-1.21,STUNTED,False,PDAM
CHD-2026-00034,1271952077866794,Lestari Lubis,Nurul Lubis,DIST-02,Medan Labuhan,Posyandu Melati 3,55,F,106.5,19.32,1.01,-1.3,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00035,1271621259903938,Putri Simanjuntak,Putri Simanjuntak,DIST-08,Medan Johor,Posyandu Melati 7,53,F,97.3,18.07,-1.61,-1.99,POTENTIAL_RISK,False,Air Sungai / Tak Terlindung
CHD-2026-00036,1271581406058711,Kevin Nasution,Siti Nasution,DIST-08,Medan Johor,Posyandu Melati 8,20,M,77.1,8.98,-0.65,-2.75,NORMAL,False,PDAM
CHD-2026-00037,1271614442075564,Nurul Pratama,Dimas Pratama,DIST-08,Medan Johor,Posyandu Melati 6,10,F,65.9,10.72,-2.04,1.11,STUNTED,False,Sumur Terlindung
CHD-2026-00038,1271432872415349,Bayu Pratama,Siti Pratama,DIST-18,Medan Polonia,Posyandu Melati 7,8,M,74.0,8.34,1.12,-0.6,NORMAL,False,Sumur Terlindung
CHD-2026-00039,1271245039064114,Anisa Tambunan,Galang Tambunan,DIST-11,Medan Sunggal,Posyandu Melati 7,22,M,77.1,11.89,-1.11,-0.56,POTENTIAL_RISK,True,Sumur Terlindung
CHD-2026-00040,1271187965036409,Dimas Sitorus,Anisa Sitorus,DIST-18,Medan Polonia,Posyandu Melati 2,45,F,103.5,18.23,2.32,-0.02,NORMAL,False,Sumur Terlindung
CHD-2026-00041,1271515219475844,Galang Harahap,Anisa Harahap,DIST-10,Medan Selayang,Posyandu Melati 4,41,M,95.5,16.47,0.61,-0.71,NORMAL,False,Sumur Terlindung
CHD-2026-00042,1271485258009977,Putri Tambunan,Aditya Tambunan,DIST-13,Medan Barat,Posyandu Melati 5,59,M,104.6,21.77,-0.56,0.02,NORMAL,False,PDAM
CHD-2026-00043,1271695632468244,Aditya Tambunan,Bayu Tambunan,DIST-14,Medan Timur,Posyandu Melati 8,49,M,97.6,16.11,-0.57,-2.86,NORMAL,False,Sumur Terlindung
CHD-2026-00044,1271947636866491,Rizky Harahap,Galang Harahap,DIST-06,Medan Denai,Posyandu Melati 5,11,M,74.4,7.9,0.56,-1.69,NORMAL,True,Air Sungai / Tak Terlindung
CHD-2026-00045,1271707409672193,Budi Pratama,Nurul Pratama,DIST-05,Medan Tembung,Posyandu Melati 4,35,F,94.3,15.53,1.59,-0.2,NORMAL,False,Sumur Terlindung
CHD-2026-00046,1271287879261090,Tiara Sinaga,Nurul Sinaga,DIST-13,Medan Barat,Posyandu Melati 7,54,M,101.2,20.27,-0.55,-0.21,NORMAL,False,PDAM
CHD-2026-00047,1271419895452988,Rafi Pratama,Zahra Pratama,DIST-17,Medan Maimun,Posyandu Melati 8,35,M,86.9,14.27,-0.88,-1.35,NORMAL,False,Sumur Terlindung
CHD-2026-00048,1271889545969270,Melati Sitorus,Rafi Sitorus,DIST-18,Medan Polonia,Posyandu Melati 3,33,F,87.6,15.81,-0.18,0.51,NORMAL,False,Sumur Terlindung
CHD-2026-00049,1271913907829540,Rafi Harahap,Nurul Harahap,DIST-16,Medan Kota,Posyandu Melati 5,37,M,87.8,14.91,-1.04,-1.22,POTENTIAL_RISK,False,Sumur Terlindung
CHD-2026-00050,1271506663902320,Nurul Harahap,Bayu Harahap,DIST-10,Medan Selayang,Posyandu Melati 4,14,M,72.2,11.1,-0.86,0.55,NORMAL,False,Sumur Terlindung
CHD-2026-00051,1271526689698633,Rizky Sinaga,Anisa Sinaga,DIST-07,Medan Amplas,Posyandu Melati 4,32,M,90.0,14.44,0.87,-0.51,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00052,1271834988588814,Aditya Hutapea,Budi Hutapea,DIST-13,Medan Barat,Posyandu Melati 5,6,F,69.3,6.99,0.05,-1.37,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00053,1271873312518999,Zahra Hutapea,Zahra Hutapea,DIST-14,Medan Timur,Posyandu Melati 7,20,F,79.9,11.8,0.3,-0.18,NORMAL,False,PDAM
CHD-2026-00054,1271692338279751,Rian Hutapea,Putri Hutapea,DIST-11,Medan Sunggal,Posyandu Melati 1,7,F,65.7,5.92,-1.4,-2.57,POTENTIAL_RISK,True,Sumur Terlindung
CHD-2026-00055,1271434975196363,Rafi Nasution,Aisyah Nasution,DIST-05,Medan Tembung,Posyandu Melati 6,19,F,71.4,9.9,-2.29,-1.68,STUNTED,False,Sumur Terlindung
CHD-2026-00056,1271429754672341,Kevin Simanjuntak,Anisa Simanjuntak,DIST-13,Medan Barat,Posyandu Melati 1,36,M,92.4,17.11,0.73,1.01,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00057,1271931422131508,Nurul Pangaribuan,Rizky Pangaribuan,DIST-12,Medan Helvetia,Posyandu Melati 1,21,M,76.1,10.95,-1.19,-1.18,POTENTIAL_RISK,True,PDAM
CHD-2026-00058,1271698334425198,Siti Tambunan,Dimas Tambunan,DIST-16,Medan Kota,Posyandu Melati 3,55,F,102.9,20.17,-0.19,-0.53,NORMAL,False,Sumur Terlindung
CHD-2026-00059,1271841269256111,Putri Harahap,Siti Harahap,DIST-04,Medan Deli,Posyandu Melati 7,42,F,94.4,15.58,0.01,-1.75,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00060,1271238310595941,Rizky Tambunan,Nurul Tambunan,DIST-07,Medan Amplas,Posyandu Melati 1,49,M,100.1,17.97,0.28,-1.16,NORMAL,False,PDAM
CHD-2026-00061,1271924578061207,Lestari Siregar,Galang Siregar,DIST-14,Medan Timur,Posyandu Melati 2,32,F,88.2,13.81,0.28,-1.08,NORMAL,False,Sumur Terlindung
CHD-2026-00062,1271652846929548,Rafi Hutapea,Fajar Hutapea,DIST-12,Medan Helvetia,Posyandu Melati 8,47,F,93.7,20.23,-1.39,1.35,POTENTIAL_RISK,False,Sumur Terlindung
CHD-2026-00063,1271213924778385,Kevin Sitorus,Nurul Sitorus,DIST-19,Medan Baru,Posyandu Melati 7,21,F,82.3,9.65,0.87,-2.36,NORMAL,False,PDAM
CHD-2026-00064,1271559365875232,Putri Ginting,Dimas Ginting,DIST-11,Medan Sunggal,Posyandu Melati 5,27,F,80.6,14.51,-1.09,0.69,POTENTIAL_RISK,False,Sumur Terlindung
CHD-2026-00065,1271626123114937,Dimas Siregar,Nurul Siregar,DIST-17,Medan Maimun,Posyandu Melati 8,50,F,93.6,19.52,-2.15,0.02,STUNTED,False,Sumur Terlindung
CHD-2026-00066,1271618253914986,Rizky Harahap,Nurul Harahap,DIST-01,Medan Belawan,Posyandu Melati 8,25,F,81.0,10.88,-0.5,-2.15,NORMAL,False,Sumur Terlindung
CHD-2026-00067,1271524689008434,Anisa Hutapea,Zahra Hutapea,DIST-12,Medan Helvetia,Posyandu Melati 5,23,F,79.0,9.43,-0.69,-3.02,NORMAL,True,PDAM
CHD-2026-00068,1271982941434138,Bayu Siregar,Zahra Siregar,DIST-07,Medan Amplas,Posyandu Melati 5,19,F,82.0,10.39,1.24,-1.24,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00069,1271324169501231,Dewi Lubis,Lestari Lubis,DIST-07,Medan Amplas,Posyandu Melati 5,51,M,101.0,19.5,0.11,-0.23,NORMAL,False,PDAM
CHD-2026-00070,1271918893599042,Zahra Harahap,Fajar Harahap,DIST-02,Medan Labuhan,Posyandu Melati 5,12,M,74.6,8.08,0.41,-1.75,NORMAL,False,Sumur Terlindung
CHD-2026-00071,1271712196292070,Putri Pratama,Kevin Pratama,DIST-11,Medan Sunggal,Posyandu Melati 2,31,F,85.7,14.74,-0.33,-0.01,NORMAL,False,Sumur Terlindung
CHD-2026-00072,1271481893185066,Fajar Nasution,Aditya Nasution,DIST-02,Medan Labuhan,Posyandu Melati 4,13,F,73.6,10.23,-0.15,-0.02,NORMAL,False,Sumur Terlindung
CHD-2026-00073,1271644202141986,Dewi Sembiring,Aditya Sembiring,DIST-15,Medan Perjuangan,Posyandu Melati 4,45,M,92.5,16.52,-1.34,-1.58,POTENTIAL_RISK,False,Sumur Terlindung
CHD-2026-00074,1271326788052229,Rizky Nasution,Nurul Nasution,DIST-09,Medan Tuntungan,Posyandu Melati 7,16,M,79.2,7.84,0.99,-2.88,NORMAL,False,Sumur Terlindung
CHD-2026-00075,1271468412965632,Dewi Pratama,Nurul Pratama,DIST-16,Medan Kota,Posyandu Melati 2,50,F,104.0,18.54,1.34,-0.87,NORMAL,False,Sumur Terlindung
CHD-2026-00076,1271642203519922,Aditya Pangaribuan,Dimas Pangaribuan,DIST-09,Medan Tuntungan,Posyandu Melati 5,20,M,77.2,10.46,-0.61,-1.4,NORMAL,True,PDAM
CHD-2026-00077,1271465604853037,Dewi Tambunan,Aditya Tambunan,DIST-06,Medan Denai,Posyandu Melati 7,35,F,86.5,16.16,-0.99,0.37,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00078,1271207270861653,Zahra Ginting,Rafi Ginting,DIST-17,Medan Maimun,Posyandu Melati 5,33,F,88.5,14.94,0.15,-0.28,NORMAL,False,PDAM
CHD-2026-00079,1271969613225415,Aditya Tambunan,Budi Tambunan,DIST-08,Medan Johor,Posyandu Melati 3,42,M,93.1,15.14,-0.42,-2.15,NORMAL,False,Sumur Terlindung
CHD-2026-00080,1271337137628141,Rafi Pasaribu,Kevin Pasaribu,DIST-21,Medan Area,Posyandu Melati 2,46,F,92.0,17.21,-1.72,-1.18,POTENTIAL_RISK,False,Sumur Terlindung
CHD-2026-00081,1271304458247744,Bayu Sitorus,Siti Sitorus,DIST-14,Medan Timur,Posyandu Melati 5,50,F,99.4,18.72,-0.19,-0.71,NORMAL,False,Sumur Terlindung
CHD-2026-00082,1271214297955135,Zahra Pratama,Rafi Pratama,DIST-13,Medan Barat,Posyandu Melati 7,26,M,84.8,13.31,0.52,-0.17,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00083,1271162966949494,Zahra Ginting,Anisa Ginting,DIST-01,Medan Belawan,Posyandu Melati 8,29,F,81.7,15.45,-1.21,1.09,POTENTIAL_RISK,False,Sumur Terlindung
CHD-2026-00084,1271465593988941,Kevin Tarigan,Fajar Tarigan,DIST-07,Medan Amplas,Posyandu Melati 4,13,M,73.0,8.74,-0.35,-1.37,NORMAL,True,PDAM
CHD-2026-00085,1271389822772858,Zahra Sinaga,Rizky Sinaga,DIST-01,Medan Belawan,Posyandu Melati 3,35,M,92.2,15.66,0.89,-0.08,NORMAL,False,Sumur Terlindung
CHD-2026-00086,1271639752718905,Galang Hutapea,Kevin Hutapea,DIST-10,Medan Selayang,Posyandu Melati 8,36,M,95.2,15.33,1.67,-0.61,NORMAL,False,Sumur Terlindung
CHD-2026-00087,1271758825443236,Dimas Pasaribu,Melati Pasaribu,DIST-13,Medan Barat,Posyandu Melati 7,10,F,73.5,7.0,0.51,-2.27,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00088,1271468613195891,Kevin Sembiring,Budi Sembiring,DIST-17,Medan Maimun,Posyandu Melati 3,59,F,106.8,20.66,0.16,-0.99,NORMAL,False,Sumur Terlindung
CHD-2026-00089,1271794955338460,Lestari Sitorus,Zahra Sitorus,DIST-16,Medan Kota,Posyandu Melati 4,26,M,77.0,14.15,-2.08,0.59,STUNTED,False,Sumur Terlindung
CHD-2026-00090,1271708394857246,Anisa Pratama,Bayu Pratama,DIST-08,Medan Johor,Posyandu Melati 8,30,M,78.1,11.57,-2.64,-2.66,STUNTED,False,Air Sungai / Tak Terlindung
CHD-2026-00091,1271229860888213,Galang Tambunan,Bayu Tambunan,DIST-05,Medan Tembung,Posyandu Melati 1,12,F,72.1,9.64,-0.45,-0.33,NORMAL,True,Sumur Terlindung
CHD-2026-00092,1271434550077512,Fajar Siregar,Tiara Siregar,DIST-21,Medan Area,Posyandu Melati 6,47,M,99.1,18.76,0.4,0.01,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00093,1271791376422121,Rian Sitorus,Tiara Sitorus,DIST-18,Medan Polonia,Posyandu Melati 4,21,F,83.6,12.59,1.3,0.31,NORMAL,True,Sumur Terlindung
CHD-2026-00094,1271984140121474,Siti Ginting,Putri Ginting,DIST-04,Medan Deli,Posyandu Melati 1,8,F,66.9,7.62,-1.23,-1.26,POTENTIAL_RISK,False,PDAM
CHD-2026-00095,1271626934183950,Fajar Lubis,Galang Lubis,DIST-14,Medan Timur,Posyandu Melati 2,16,M,73.1,10.49,-1.05,-0.46,POTENTIAL_RISK,False,Sumur Terlindung
CHD-2026-00096,1271283434678555,Tiara Pasaribu,Aditya Pasaribu,DIST-08,Medan Johor,Posyandu Melati 8,46,F,91.8,18.28,-1.81,-0.2,POTENTIAL_RISK,False,PDAM
CHD-2026-00097,1271966731493588,Rafi Pasaribu,Dewi Pasaribu,DIST-01,Medan Belawan,Posyandu Melati 6,10,F,67.9,8.3,-1.38,-1.09,POTENTIAL_RISK,False,Sumur Terlindung
CHD-2026-00098,1271355033808916,Kevin Ginting,Dewi Ginting,DIST-14,Medan Timur,Posyandu Melati 7,12,M,72.2,6.19,-0.39,-3.46,NORMAL,False,Sumur Terlindung
CHD-2026-00099,1271451084911803,Budi Sembiring,Rian Sembiring,DIST-10,Medan Selayang,Posyandu Melati 5,44,F,91.3,17.33,-1.5,-0.61,POTENTIAL_RISK,False,Sumur Terlindung
CHD-2026-00100,1271387675424115,Melati Simanjuntak,Lestari Simanjuntak,DIST-08,Medan Johor,Posyandu Melati 3,45,F,94.7,17.93,-0.59,-0.29,NORMAL,False,Sumur Terlindung
CHD-2026-00101,1271147077276977,Aisyah Harahap,Rafi Harahap,DIST-21,Medan Area,Posyandu Melati 2,52,M,100.3,20.94,-0.38,0.85,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00102,1271269247189837,Anisa Nasution,Dimas Nasution,DIST-11,Medan Sunggal,Posyandu Melati 3,29,F,84.7,13.19,-0.21,-0.96,NORMAL,False,PDAM
CHD-2026-00103,1271245910812233,Dewi Hutapea,Bayu Hutapea,DIST-16,Medan Kota,Posyandu Melati 7,15,M,68.4,8.51,-2.36,-2.03,STUNTED,False,PDAM
CHD-2026-00104,1271255768777038,Budi Harahap,Zahra Harahap,DIST-13,Medan Barat,Posyandu Melati 7,49,F,99.3,19.77,-0.01,0.47,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00105,1271701262406374,Siti Pangaribuan,Nurul Pangaribuan,DIST-12,Medan Helvetia,Posyandu Melati 2,45,M,99.9,16.45,1.12,-1.64,NORMAL,False,Sumur Terlindung
CHD-2026-00106,1271242465661742,Dewi Pangaribuan,Anisa Pangaribuan,DIST-15,Medan Perjuangan,Posyandu Melati 8,8,F,67.2,8.35,-1.13,-0.59,POTENTIAL_RISK,True,PDAM
CHD-2026-00107,1271578030559850,Fajar Sinaga,Rafi Sinaga,DIST-18,Medan Polonia,Posyandu Melati 7,32,M,93.3,14.63,1.97,-0.33,NORMAL,False,Sumur Terlindung
CHD-2026-00108,1271148238117070,Melati Sinaga,Kevin Sinaga,DIST-16,Medan Kota,Posyandu Melati 8,19,F,82.2,11.36,1.31,-0.35,NORMAL,True,Air Sungai / Tak Terlindung
CHD-2026-00109,1271175174795520,Lestari Tarigan,Lestari Tarigan,DIST-04,Medan Deli,Posyandu Melati 8,18,M,78.4,11.44,0.27,-0.06,NORMAL,True,Sumur Terlindung
CHD-2026-00110,1271523554003063,Melati Pratama,Aisyah Pratama,DIST-21,Medan Area,Posyandu Melati 2,56,M,102.6,18.89,-0.54,-1.91,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00111,1271394445193417,Dimas Tambunan,Dimas Tambunan,DIST-18,Medan Polonia,Posyandu Melati 5,56,M,102.0,22.28,-0.73,1.17,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00112,1271322152661422,Fajar Tarigan,Kevin Tarigan,DIST-05,Medan Tembung,Posyandu Melati 6,14,M,75.3,8.94,0.15,-1.42,NORMAL,True,Sumur Terlindung
CHD-2026-00113,1271268777477897,Putri Harahap,Aisyah Harahap,DIST-01,Medan Belawan,Posyandu Melati 2,39,M,87.3,13.14,-1.67,-3.28,POTENTIAL_RISK,False,Sumur Terlindung
CHD-2026-00114,1271676283134629,Galang Tambunan,Siti Tambunan,DIST-12,Medan Helvetia,Posyandu Melati 5,45,M,99.5,18.5,1.01,0.23,NORMAL,False,Sumur Terlindung
CHD-2026-00115,1271648194252768,Aisyah Ginting,Rian Ginting,DIST-01,Medan Belawan,Posyandu Melati 2,37,F,86.6,14.96,-1.43,-1.17,POTENTIAL_RISK,False,Air Sungai / Tak Terlindung
CHD-2026-00116,1271263883759984,Melati Nasution,Rizky Nasution,DIST-11,Medan Sunggal,Posyandu Melati 7,51,F,91.4,18.48,-3.1,-1.15,SEVERELY_STUNTED,False,Air Sungai / Tak Terlindung
CHD-2026-00117,1271875510962624,Dewi Ginting,Galang Ginting,DIST-17,Medan Maimun,Posyandu Melati 4,56,M,106.6,21.28,0.81,0.25,NORMAL,False,Sumur Terlindung
CHD-2026-00118,1271615361962557,Anisa Sitorus,Rafi Sitorus,DIST-08,Medan Johor,Posyandu Melati 6,26,F,82.8,12.85,-0.14,-0.59,NORMAL,False,Sumur Terlindung
CHD-2026-00119,1271181956562398,Fajar Pangaribuan,Tiara Pangaribuan,DIST-12,Medan Helvetia,Posyandu Melati 2,11,F,73.5,8.6,0.25,-1.04,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00120,1271814456583002,Aisyah Tambunan,Zahra Tambunan,DIST-18,Medan Polonia,Posyandu Melati 7,32,F,80.3,14.49,-2.36,-0.46,STUNTED,False,Air Sungai / Tak Terlindung
CHD-2026-00121,1271552086339313,Dewi Tambunan,Dewi Tambunan,DIST-02,Medan Labuhan,Posyandu Melati 8,19,M,76.2,11.69,-0.7,-0.05,NORMAL,True,Air Sungai / Tak Terlindung
CHD-2026-00122,1271457019874705,Zahra Sitorus,Siti Sitorus,DIST-12,Medan Helvetia,Posyandu Melati 1,57,F,97.8,20.29,-2.36,-0.87,STUNTED,False,Sumur Terlindung
CHD-2026-00123,1271998994446062,Budi Nasution,Kevin Nasution,DIST-09,Medan Tuntungan,Posyandu Melati 1,27,F,81.8,11.71,-0.69,-1.86,NORMAL,False,PDAM
CHD-2026-00124,1271182487661502,Aditya Pangaribuan,Rian Pangaribuan,DIST-05,Medan Tembung,Posyandu Melati 7,11,M,71.8,9.6,-0.3,-0.13,NORMAL,False,Sumur Terlindung
CHD-2026-00125,1271827251852391,Lestari Harahap,Bayu Harahap,DIST-06,Medan Denai,Posyandu Melati 3,9,M,67.5,10.6,-1.27,1.23,POTENTIAL_RISK,True,Sumur Terlindung
CHD-2026-00126,1271727365658242,Rafi Pangaribuan,Anisa Pangaribuan,DIST-09,Medan Tuntungan,Posyandu Melati 4,32,F,84.5,13.74,-0.97,-1.14,NORMAL,False,Sumur Terlindung
CHD-2026-00127,1271468111638972,Lestari Sinaga,Siti Sinaga,DIST-04,Medan Deli,Posyandu Melati 1,39,F,87.4,14.48,-1.63,-2.07,POTENTIAL_RISK,False,PDAM
CHD-2026-00128,1271483214943248,Aisyah Pratama,Dimas Pratama,DIST-20,Medan Petisah,Posyandu Melati 5,54,F,99.5,18.26,-1.09,-2.04,POTENTIAL_RISK,False,PDAM
CHD-2026-00129,1271322354617229,Tiara Hutapea,Anisa Hutapea,DIST-01,Medan Belawan,Posyandu Melati 6,40,M,88.5,15.54,-1.5,-1.33,POTENTIAL_RISK,False,PDAM
CHD-2026-00130,1271194282678033,Anisa Pratama,Rafi Pratama,DIST-02,Medan Labuhan,Posyandu Melati 7,42,F,82.9,15.97,-3.83,-1.39,SEVERELY_STUNTED,False,PDAM
CHD-2026-00131,1271895824466928,Budi Sitorus,Putri Sitorus,DIST-13,Medan Barat,Posyandu Melati 2,11,F,71.0,9.61,-0.58,-0.13,NORMAL,True,Sumur Terlindung
CHD-2026-00132,1271498820336562,Galang Siregar,Rian Siregar,DIST-13,Medan Barat,Posyandu Melati 3,20,F,81.3,12.27,0.78,0.24,NORMAL,True,Sumur Terlindung
CHD-2026-00133,1271544681543419,Galang Tarigan,Dimas Tarigan,DIST-04,Medan Deli,Posyandu Melati 3,21,M,74.3,10.07,-1.8,-1.98,POTENTIAL_RISK,False,PDAM
CHD-2026-00134,1271329103899095,Fajar Simanjuntak,Rizky Simanjuntak,DIST-20,Medan Petisah,Posyandu Melati 6,35,F,90.2,14.57,0.24,-1.07,NORMAL,False,Air Sungai / Tak Terlindung
CHD-2026-00135,1271185916998245,Bayu Nasution,Rafi Nasution,DIST-21,Medan Area,Posyandu Melati 5,46,F,90.7,20.47,-2.17,1.79,STUNTED,False,Sumur Terlindung
